per Round, AccumReward,
612, -95.819211,
613, 65.749030,
614, -57.000000,
615, -109.600000,
616, 41.936375,
617, -143.062214,
618, -34.085938,
619, -109.727257,
620, -86.003395,
621, -125.519256,
622, 49.925045,
623, 42.288166,
624, -165.006105,
625, -150.844565,
626, -157.978738,
627, -72.908367,
628, -49.964826,
629, 68.776631,
630, 80.045061,
631, -53.000000,
632, -127.252160,
633, -138.917288,
634, -99.996940,
635, -86.966673,
636, -171.048642,
637, -120.395674,
638, -41.291232,
639, 98.309877,
640, -58.109423,
641, 67.710180,
642, -122.965936,
643, 59.400000,
644, 42.174966,
645, -17.672639,
646, -103.647157,
647, 22.832346,
648, -142.600000,
649, -113.213366,
650, -32.000000,
651, 74.193492,
652, 33.956441,
653, -75.970384,
654, 90.646431,
655, 144.366051,
656, 135.597825,
657, 108.400000,
658, 126.450961,
659, 154.200000,
660, 130.143110,
661, 53.962570,
662, -36.043168,
663, 74.490308,
664, 134.570677,
665, 160.162066,
666, 135.990374,
667, -23.000000,
668, 125.721943,
669, 71.537959,
670, 141.591738,
671, 137.254396,
672, 142.822412,
673, 141.603660,
674, 134.077903,
675, 142.237667,
676, 131.003838,
677, 131.177601,
678, 140.417263,
679, 91.746534,
680, 142.242737,
681, 135.341698,
682, 150.917290,
683, 136.703264,
684, 132.533567,
685, 123.668202,
686, 136.523620,
687, 130.833622,
688, 154.000000,
689, 155.214780,
690, 145.241797,
691, 60.329961,
692, 151.602598,
693, 125.964426,
694, 136.800000,
695, 128.162056,
696, 146.570092,
697, 149.865345,
698, 135.162829,
699, 129.144989,
700, 148.513727,
701, 137.607710,
702, 131.434168,
703, 143.152003,
704, -36.000000,
705, 87.991007,
706, 136.334386,
707, 130.504401,
708, 99.385286,
709, 134.354895,
710, 155.737271,
711, 153.104652,
712, 131.514155,
713, 140.604666,
714, 140.864854,
715, 152.485518,
716, 123.130015,
717, 152.253201,
718, 136.493118,
719, 143.542844,
720, 139.170975,
721, 107.318361,
722, 135.291292,
723, 100.510977,
724, 132.053770,
725, 150.594685,
726, 128.241922,
727, 79.103639,
728, 149.800000,
729, 149.409562,
730, 146.711595,
731, 142.332465,
732, -51.000000,
733, -113.748373,
734, 6.780460,
735, -18.000000,
736, -61.600000,
737, -95.301933,
738, -251.260184,
739, -100.398786,
740, 44.714896,
741, -40.059100,
742, 9.338647,
743, -109.839673,
744, 15.062137,
745, 65.687690,
746, 25.486234,
747, -117.269294,
748, 36.279510,
749, -20.914952,
750, -82.133656,
751, -32.715717,
752, 85.949282,
753, -129.513762,
754, -146.153675,
755, 7.832570,
756, -38.000000,
